battery,sp,mean_rmse,std_rmse,mean_mae,std_mae,mean_mape,std_mape,mean_training_time,median_epochs
B0005,0.7,0.02257,0.01056,0.02058,0.01032,3.09664,1.54904,4.58,32.5
B0005,0.8,0.01503,0.00661,0.01332,0.00698,2.02458,1.06265,4.86,58.0
B0005,0.9,0.01156,0.00279,0.01018,0.00283,1.56419,0.4346,5.74,74.0
B0006,0.7,0.03672,0.006,0.03086,0.00553,5.02949,0.89496,4.67,40.5
B0006,0.8,0.03588,0.00535,0.03172,0.00519,5.24705,0.84842,4.3,46.5
B0006,0.9,0.03528,0.00927,0.03333,0.00961,5.61958,1.60664,3.82,31.0
B0018,0.7,0.01593,0.00425,0.01349,0.00463,1.94216,0.68078,4.09,64.0
B0018,0.8,0.01321,0.00102,0.011,0.00099,1.5916,0.1467,3.13,31.0
B0018,0.9,0.01318,0.00179,0.01141,0.0021,1.66499,0.31284,5.06,75.5
